fifa_referee_id,referee_id,match_method
361561,wilton-pereira-sampaio-br,surname+iso3
392013,amin-mohamed-omar-eg,surname+iso3
416165,,
327159,danny-desmond-makkelie-cw,surname_only
400191,said-martinez-xx,surname_only
315008,slavko-vinčić-si,surname_only
375306,mustapha-ghorbal-dz,surname+iso3
360305,jesús-valenzuela-sáez-ve,surname_only
416524,jalal-jayed-ma,surname+iso3
392406,ismail-elfath-us,surname+iso3
399029,françois-letexier-fr,surname+iso3
434995,yael-falcón-pérez-ar,surname+iso3
361034,adham-mohammad-tumah-makhadmeh-jo,surname+iso3
446932,ramon-abatti-br,surname+iso3
415965,maurizio-mariani-it,surname_only
374810,césar-arturo-ramos-palazuelos-mx,surname+iso3
283448,alireza-faghani-ir,surname_only
408417,pierre-ghislain-atcho-ga,surname_only
327975,szymon-marciniak-pl,surname_only
408591,dahane-beida-mr,surname_only
361083,abdulrahman-ibrahim-al-jassim-qa,surname+iso3
314589,clément-turpin-fr,surname+iso3
392336,glenn-nyberg-se,surname+iso3
360460,anthony-taylor-gb,surname+iso3
428431,tori-penso-us,surname+iso3
392268,joão-pedro-silva-pinheiro-pt,surname+iso3
416177,,
408669,gustavo-tejera-uy,surname+iso3
348147,felix-zwayer-de,surname+iso3
360687,ilgiz-tantashev-uz,surname+iso3
373845,alejandro-josé-hernández-hernández-es,surname+iso3
408378,,
347710,michael-oliver-gb,surname+iso3
416159,juan-gabriel-benítez-py,surname+iso3
328495,ning-ma-cn,surname_only
314605,istvan-kovacs-ro,surname_only
383222,raphael-claus-br,surname+iso3
383174,darío-herrera-ar,surname+iso3
400227,espen-eskås-no,surname+iso3
383421,omar-mohamed-al-ali-ae,surname_only
372930,drew-fischer-ca,surname+iso3
