stadium_id,name,city,state_or_region,country,capacity,roof_type,surface,altitude_m,latitude,longitude,timezone,weather_grid_key,open_meteo_elevation_m,altitude_delta_m,match_key,espn_venue_name
azteca,Estadio Azteca,Mexico City,CDMX,MEX,87523,open,grass,2200,19.3029,-99.1505,America/Mexico_City,"19.3,-99.2",2245.0,45.0,Estadio Azteca,Estadio Banorte
akron,Estadio Akron,Guadalajara,Jalisco,MEX,49850,open,grass,1600,20.6824,-103.4625,America/Mexico_City,"20.7,-103.5",1665.0,65.0,Estadio Akron,Estadio Akron
bbva,Estadio BBVA,Monterrey,Nuevo León,MEX,53500,open,grass,558,25.6692,-100.2444,America/Monterrey,"25.7,-100.2",494.0,-64.0,Estadio BBVA,Estadio BBVA
bmo,BMO Field,Toronto,Ontario,CAN,45500,open,grass_overlay,76,43.6332,-79.4185,America/Toronto,"43.6,-79.4",83.0,7.0,BMO Field,BMO Field
bcplace,BC Place,Vancouver,British Columbia,CAN,54500,retractable,grass_overlay,3,49.2768,-123.1119,America/Vancouver,"49.3,-123.1",18.0,15.0,BC Place,BC Place
metlife,MetLife Stadium,New York / New Jersey,New Jersey,USA,82500,open,grass_overlay,3,40.8136,-74.0744,America/New_York,"40.8,-74.1",4.0,1.0,MetLife Stadium,MetLife Stadium
sofi,SoFi Stadium,Los Angeles,California,USA,70240,fixed,grass,32,33.9534,-118.3387,America/Los_Angeles,"34.0,-118.3",44.0,12.0,SoFi Stadium,SoFi Stadium
att,AT&T Stadium,Dallas,Texas,USA,80000,retractable,grass_overlay,158,32.7473,-97.0945,America/Chicago,"32.7,-97.1",176.0,18.0,AT&T Stadium,AT&T Stadium
mercedes,Mercedes-Benz Stadium,Atlanta,Georgia,USA,71000,retractable,grass_overlay,316,33.7553,-84.4006,America/New_York,"33.8,-84.4",307.0,-9.0,Mercedes-Benz Stadium,Mercedes-Benz Stadium
hardrock,Hard Rock Stadium,Miami,Florida,USA,65326,open,grass,3,25.958,-80.2389,America/New_York,"26.0,-80.2",5.0,2.0,Hard Rock Stadium,Hard Rock Stadium
lincoln,Lincoln Financial Field,Philadelphia,Pennsylvania,USA,69879,open,grass,9,39.9008,-75.1675,America/New_York,"39.9,-75.2",0.0,-9.0,Lincoln Financial Field,Lincoln Financial Field
arrowhead,Arrowhead Stadium,Kansas City,Missouri,USA,76416,open,grass,273,39.0489,-94.4839,America/Chicago,"39.0,-94.5",259.0,-14.0,Arrowhead Stadium,GEHA Field at Arrowhead Stadium
nrg,NRG Stadium,Houston,Texas,USA,72220,retractable,grass_overlay,13,29.6847,-95.4107,America/Chicago,"29.7,-95.4",13.0,0.0,NRG Stadium,NRG Stadium
levis,Levi's Stadium,San Francisco Bay Area,California,USA,68500,open,grass,3,37.4032,-121.9698,America/Los_Angeles,"37.4,-122.0",3.0,0.0,Levi's Stadium,Levi's Stadium
lumen,Lumen Field,Seattle,Washington,USA,68740,open,grass_overlay,5,47.5952,-122.3316,America/Los_Angeles,"47.6,-122.3",11.0,6.0,Lumen Field,Lumen Field
gillette,Gillette Stadium,Boston,Massachusetts,USA,65878,open,grass_overlay,24,42.0909,-71.2643,America/New_York,"42.1,-71.3",89.0,65.0,Gillette Stadium,Gillette Stadium
